Last_Update,OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths
2020/05/09 22:32:32+00,299,Nevada,US,38.313515,-117.055374,6028,0,301
2020/05/09 22:32:32+00,300,Northern Mariana Islands,US,15.0979,145.6739,16,0,2
2020/05/09 22:32:32+00,301,Diamond Princess,US,35.4437,139.638,49,0,0
2020/05/09 22:32:32+00,302,Maryland,US,39.063946,-76.802101,31534,0,1614
2020/05/09 22:32:32+00,303,Idaho,US,44.240459,-114.478828,2205,0,67
2020/05/09 22:32:32+00,304,Wyoming,US,42.755966,-107.30249,653,0,7
2020/05/09 22:32:32+00,305,Arizona,US,33.729759,-111.431221,10960,0,532
2020/05/09 22:32:32+00,306,Iowa,US,42.011539,-93.210526,11671,0,252
2020/05/09 22:32:32+00,307,Michigan,US,43.326618,-84.536095,46815,0,4530
2020/05/09 22:32:32+00,308,Utah,US,40.150032,-111.862434,6103,0,66
2020/05/09 22:32:32+00,309,Virginia,US,37.769337,-78.169968,23196,0,827
2020/05/09 22:32:32+00,310,Oregon,US,44.572021,-122.070938,3160,0,127
2020/05/09 22:32:32+00,311,Montana,US,46.921925,-110.454353,458,0,16
2020/05/09 22:32:32+00,312,New Hampshire,US,43.452492,-71.563896,2947,0,121
2020/05/09 22:32:32+00,313,Massachusetts,US,42.230171,-71.530106,76743,0,4840
2020/05/09 22:32:32+00,314,South Carolina,US,33.856892,-80.945007,7531,0,330
2020/05/09 22:32:32+00,315,Vermont,US,44.045876,-72.710686,921,0,53
2020/05/09 22:32:32+00,316,Florida,US,27.766279,-81.686783,40001,0,1715
2020/05/09 22:32:32+00,317,Hawaii,US,21.094318,-157.498337,631,0,17
2020/05/09 22:32:32+00,318,Kentucky,US,37.66814,-84.670067,6445,0,304
2020/05/09 22:32:32+00,319,Rhode Island,US,41.680893,-71.51178,10989,0,418
2020/05/09 22:32:32+00,320,Nebraska,US,41.12537,-98.268082,7694,0,90
2020/05/09 22:32:32+00,321,Ohio,US,40.388783,-82.764915,23697,0,1331
2020/05/09 22:32:32+00,322,Alabama,US,32.3182,-86.9023,9567,0,388
2020/05/09 22:32:32+00,323,North Carolina,US,35.630066,-79.806419,14465,0,551
2020/05/09 22:32:32+00,324,District of Columbia,US,38.897438,-77.026817,6102,0,311
2020/05/09 22:32:32+00,325,Maine,US,44.693947,-69.381927,1408,0,64
